Y,Z,rho,std
0.0,0.0,1778,1.778.100
5.0,0.0,1778,1.778.100
15.0,0.0,1778,1.778.100
25.0,0.0,384,384.470
35.0,0.0,3678,3.678.200
45.0,0.0,766,766.290
55.0,0.0,75,75.330
65.0,0.0,26,26.069
75.0,0.0,80,79.809
85.0,0.0,854,854.090
95.0,0.0,323,322.620
105.0,0.0,836,836.280
115.0,0.0,831,831.460
125.0,0.0,1587,1.586.800
130.0,0.0,1587,1.586.800
140.0,0.0,1587,1.586.800
0.0,-1.709,1778,1.778.100
5.0,-1.709,1778,1.778.100
15.0,-1.709,1778,1.778.100
25.0,-1.709,384,384.470
35.0,-1.709,3678,3.678.200
45.0,-1.709,766,766.290
55.0,-1.709,75,75.330
65.0,-1.709,26,26.069
75.0,-1.709,80,79.809
85.0,-1.709,854,854.090
95.0,-1.709,323,322.620
105.0,-1.709,836,836.280
115.0,-1.709,831,831.460
125.0,-1.709,1587,1.586.800
130.0,-1.709,1587,1.586.800
140.0,-1.709,1587,1.586.800
15.0,-5.298,49,48.903
25.0,-5.298,170,170.180
35.0,-5.298,30,30.221
45.0,-5.298,82,82.119
55.0,-5.298,122,122.010
65.0,-5.298,116,116.060
75.0,-5.298,33,32.733
85.0,-5.298,24,23.905
95.0,-5.298,59,58.715
105.0,-5.298,493,492.760
115.0,-5.298,1005,1.004.500
125.0,-5.298,64,63.633
15.0,-9.246,16,15.648
25.0,-9.246,232,232.370
35.0,-9.246,45,45.404
45.0,-9.246,186,185.760
55.0,-9.246,314,313.760
65.0,-9.246,405,405.200
75.0,-9.246,46,46.472
85.0,-9.246,73,72.653
95.0,-9.246,130,130.360
105.0,-9.246,23,23.280
115.0,-9.246,34,33.744
125.0,-9.246,200,199.530
25.0,-13.588,1080,1.079.800
35.0,-13.588,799,798.900
45.0,-13.588,1544,1.544.100
55.0,-13.588,2139,2.138.900
65.0,-13.588,2966,2.966.300
75.0,-13.588,842,841.720
85.0,-13.588,573,572.920
95.0,-13.588,561,561.100
105.0,-13.588,142,141.670
115.0,-13.588,483,482.610
35.0,-18.365,7920,7.919.900
45.0,-18.365,8774,8.774.000
55.0,-18.365,7580,7.580.400
65.0,-18.365,8047,8.047.400
75.0,-18.365,3913,3.912.600
85.0,-18.365,2150,2.150.200
95.0,-18.365,1617,1.616.600
105.0,-18.365,1083,1.083.200
45.0,-23.619,22684,22.684.000
55.0,-23.619,13703,13.703.000
65.0,-23.619,12568,12.568.000
75.0,-23.619,8465,8.464.700
85.0,-23.619,4148,4.148.100
95.0,-23.619,2870,2.870.100
55.0,-29.399,19185,19.185.000
65.0,-29.399,16286,16.286.000
75.0,-29.399,12110,12.110.000
85.0,-29.399,4533,4.533.300
55.0,-35.757,26661,26.661.000
65.0,-35.757,37949,37.949.000
75.0,-35.757,21385,21.385.000
85.0,-35.757,1411,1.411.200
